algorithm,n,waste
next fit,10,2.19296
next fit,100,15.5579
next fit,1000,174.977
next fit,10000,1697.8
next fit,100000,17038.1
first fit,10,1.08515
first fit,100,5.63576
first fit,1000,34.3081
first fit,10000,141.465
first fit,100000,717.55
first fit decreasing,10,1.16227
first fit decreasing,100,2.6453
first fit decreasing,1000,13.2039
first fit decreasing,10000,26.5677
first fit decreasing,100000,48.917
best fit,10,1.18206
best fit,100,5.60247
best fit,1000,26.3245
best fit,10000,99.9967
best fit,100000,365.422
best fit decreasing,10,1.13209
best fit decreasing,100,2.5913
best fit decreasing,1000,9.50909
best fit decreasing,10000,24.4971
best fit decreasing,100000,84.0478
