algorithm,n,waste
next fit,10,1.80335
next fit,100,17.7437
next fit,1000,175.58
next fit,10000,1711.84
next fit,100000,16997
first fit,10,1.38467
first fit,100,5.77838
first fit,1000,32.2867
first fit,10000,145.632
first fit,100000,748.636
first fit decreasing,10,1.48967
first fit decreasing,100,4.03975
first fit decreasing,1000,13.3861
first fit decreasing,10000,29.9484
first fit decreasing,100000,103.234
best fit,10,1.13021
best fit,100,4.93017
best fit,1000,24.1481
best fit,10000,93.5517
best fit,100000,334.828
best fit decreasing,10,0.935714
best fit decreasing,100,4.70652
best fit decreasing,1000,5.58743
best fit decreasing,10000,23.8544
best fit decreasing,100000,88.1316
